id,skill,invocation,should_trigger,fixture,run_mode,prompt,checks_json,notes
EV-158,spec-archive-change,implicit,true,tierc_corepack,workspace-write,"Close out the OpenSpec change 'archive-me': ensure evidence exists in tasks.md, then mark it archived by creating ARCHIVED.md and adding an archive checklist entry. Write only within openspec/changes/archive-me/.","[""file_exists:openspec/changes/archive-me/ARCHIVED.md"", ""writes_only:openspec/changes/archive-me/tasks.md,openspec/changes/archive-me/ARCHIVED.md"", ""no_web_search""]",
EV-159,spec-archive-change,contextual,true,tierc_corepack,workspace-write,Read openspec/changes/archive-me/tasks.md and the mini-spec at openspec/changes/archive-me/specs/mini-spec.md. Then archive the change by writing ARCHIVED.md and appending the archive checklist to tasks.md. Do not modify anything outside that change folder.,"[""file_exists:openspec/changes/archive-me/specs/mini-spec.md"", ""file_contains:openspec/changes/archive-me/tasks.md:npm run verify"", ""writes_only:openspec/changes/archive-me/tasks.md,openspec/changes/archive-me/ARCHIVED.md"", ""no_web_search""]",
EV-160,spec-archive-change,negative,false,tierc_corepack,workspace-write,Explain (high-level) what it means to archive an OpenSpec change and when you would do it. Do not write or modify any files.,"[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]",Near-miss: asks for explanation only; no request to archive a specific slug or to write archive artifacts.
EV-161,spec-commit-message-from-slug,explicit,true,tierc_corepack,workspace-write,$spec-commit-message-from-slug Generate a Conventional Commit message for slug=archive-me with type=chore and a short summary. Write ONLY the message (subject + body) to COMMIT_MESSAGE.md. The body MUST include 'OpenSpec: openspec/changes/archive-me/' and SHOULD include 'Evidence: npm run verify'.,"[""file_exists:COMMIT_MESSAGE.md"", ""file_contains:COMMIT_MESSAGE.md:chore(archive-me):"", ""file_contains:COMMIT_MESSAGE.md:OpenSpec: openspec/changes/archive-me/"", ""file_contains:COMMIT_MESSAGE.md:Evidence: npm run verify"", ""writes_only:COMMIT_MESSAGE.md"", ""no_web_search""]",
EV-162,spec-commit-message-from-slug,implicit,true,tierc_corepack,workspace-write,Write COMMIT_MESSAGE.md containing a Conventional Commit subject+body for the OpenSpec slug 'archive-me'. Subject must be 'chore(archive-me): ...' and body must include the OpenSpec path.,"[""file_exists:COMMIT_MESSAGE.md"", ""file_contains:COMMIT_MESSAGE.md:OpenSpec: openspec/changes/archive-me/"", ""writes_only:COMMIT_MESSAGE.md"", ""no_web_search""]",
EV-163,spec-commit-message-from-slug,contextual,true,tierc_corepack,workspace-write,"Read openspec/changes/archive-me/tasks.md to infer a short summary, then write COMMIT_MESSAGE.md with a Conventional Commit message scoped to (archive-me) and including OpenSpec traceability.","[""file_exists:openspec/changes/archive-me/tasks.md"", ""file_contains:COMMIT_MESSAGE.md:OpenSpec: openspec/changes/archive-me/"", ""writes_only:COMMIT_MESSAGE.md"", ""no_web_search""]",
EV-164,spec-commit-message-from-slug,negative,false,tierc_corepack,workspace-write,List the allowed Conventional Commit types and what they mean. Do not write or modify any files.,"[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: about commit conventions, but not generating a commit message for a slug."
EV-165,spec-slice-into-iterations-from-brief,explicit,true,tierc_corepack,workspace-write,"$spec-slice-into-iterations-from-brief Using openspec/changes/brief-plan/specs/spec.md, replace the Iterations section in openspec/changes/brief-plan/tasks.md with 3–6 iterations (include Iteration 0 baseline). Each iteration must reference specific ACs (AC-1/AC-2). Preserve the Evidence log section if present. Write ONLY that tasks.md file.","[""file_exists:openspec/changes/brief-plan/tasks.md"", ""file_contains:openspec/changes/brief-plan/tasks.md:Iteration 0"", ""file_contains:openspec/changes/brief-plan/tasks.md:AC-1"", ""file_contains:openspec/changes/brief-plan/tasks.md:AC-2"", ""writes_only:openspec/changes/brief-plan/tasks.md"", ""no_web_search""]",
EV-166,spec-slice-into-iterations-from-brief,implicit,true,tierc_corepack,workspace-write,Turn the SPEC at openspec/changes/brief-plan/specs/spec.md into a tasks plan: update openspec/changes/brief-plan/tasks.md with Iteration 0 + several PR-sized iterations mapping to ACs. Do not change any other files.,"[""file_contains:openspec/changes/brief-plan/tasks.md:Iteration 0"", ""writes_only:openspec/changes/brief-plan/tasks.md"", ""no_web_search""]",
EV-167,spec-slice-into-iterations-from-brief,contextual,true,tierc_corepack,workspace-write,Read brief.md and openspec/changes/brief-plan/specs/spec.md. Then write a sliced plan into openspec/changes/brief-plan/tasks.md that keeps iterations minimal and verifiable with the gate 'npm run verify'.,"[""file_contains:openspec/changes/brief-plan/tasks.md:npm run verify"", ""file_contains:openspec/changes/brief-plan/tasks.md:Iteration 0"", ""writes_only:openspec/changes/brief-plan/tasks.md"", ""no_web_search""]",
EV-168,spec-slice-into-iterations-from-brief,negative,false,tierc_corepack,workspace-write,Summarize AC-1 and AC-2 from openspec/changes/brief-plan/specs/spec.md in 4 bullets. Do not write or modify any files.,"[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: uses the SPEC, but asks for summary only, not a tasks.md slicing output."
EV-169,spec-slice-into-iterations-from-readme,explicit,true,tierc_corepack,workspace-write,"$spec-slice-into-iterations-from-readme Using openspec/changes/readme-plan/specs/mini-spec.md, replace the Iterations section in openspec/changes/readme-plan/tasks.md with 3–5 PR-sized iterations plus Iteration 0 baseline. Every AC must appear in exactly one iteration's Done when (AC-1/AC-2). Preserve the Evidence log section. Write ONLY that tasks.md file.","[""file_exists:openspec/changes/readme-plan/tasks.md"", ""file_contains:openspec/changes/readme-plan/tasks.md:Iteration 0"", ""file_contains:openspec/changes/readme-plan/tasks.md:AC-1"", ""file_contains:openspec/changes/readme-plan/tasks.md:AC-2"", ""writes_only:openspec/changes/readme-plan/tasks.md"", ""no_web_search""]",
EV-170,spec-slice-into-iterations-from-readme,implicit,true,tierc_corepack,workspace-write,Update openspec/changes/readme-plan/tasks.md into a small plan (3–5 iterations + Iteration 0) based on the Mini-SPEC at openspec/changes/readme-plan/specs/mini-spec.md. Map AC-1 and AC-2 explicitly.,"[""file_contains:openspec/changes/readme-plan/tasks.md:Iteration 0"", ""writes_only:openspec/changes/readme-plan/tasks.md"", ""no_web_search""]",
EV-171,spec-slice-into-iterations-from-readme,contextual,true,tierc_corepack,workspace-write,Read README.md and openspec/changes/readme-plan/specs/mini-spec.md. Then generate a PR-sized iterations plan in openspec/changes/readme-plan/tasks.md that respects the gate 'npm run verify' and keeps Iteration 1 skeleton-only if any PROCESS constraint suggests it.,"[""file_contains:openspec/changes/readme-plan/tasks.md:npm run verify"", ""writes_only:openspec/changes/readme-plan/tasks.md"", ""no_web_search""]",
EV-172,spec-slice-into-iterations-from-readme,negative,false,tierc_corepack,workspace-write,Explain the difference between a Mini-SPEC and tasks.md iterations. Do not write or modify any files.,"[""no_writes"", ""no_file_writes_trace"", ""no_shell"", ""no_web_search""]","Near-miss: related domain, but no request to generate/update tasks.md for a specific change."
